Team Name,Total Yearly Wage,Total Monthly Wage,Points
arsenal,155464400,12955367,89
aston villa,113495200,9457933,68
bournemouth,60829600,5069133,48
brentford,90272000,7522667,39
brighton and hove albion,63757200,5313100,48
burnley,40820000,3401667,24
chelsea,170040000,14170000,63
crystal palace,61822800,5151900,49
everton,85748000,7145667,40
fulham,64833600,5402800,47
liverpool,154642800,12886900,82
luton town,34403200,2866933,26
manchester city,187392400,15616033,91
manchester united,206388000,17199000,60
newcastle united,103604800,8633733,60
nottingham forest,70460000,5871667,32
sheffield united,29648320,2470693,16
tottenham hotspur,139989200,11665767,66
west ham united,94385200,7865433,52
wolverhampton wanderers,58531200,4877600,46
