Year,Club,Expenditure,Arrivals,Income,Departures,Balance,Wins,Draws,Lose,Goals scored,Goals conceded,+/-,Points,Next_Season_Points
2024,Aston Villa,214.2,25,257.17,25,42.97,20,8,10,76,61,15,68,66
2024,Chelsea FC,276.0,38,228.9,32,-47.1,18,9,11,77,63,14,63,69
2024,Manchester City,243.0,15,141.0,13,-102.0,28,7,3,96,34,62,91,71
2024,Wolverhampton Wanderers,124.4,23,116.2,16,-8.21,13,7,18,50,65,-15,46,42
2024,Manchester United,246.3,18,103.0,19,-143.3,18,6,14,57,58,-1,60,42
2024,Crystal Palace,91.9,23,100.7,19,8.8,13,10,15,57,58,-1,49,53
2024,Newcastle United,68.2,13,89.55,16,21.35,18,6,14,85,62,23,60,66
2024,Nottingham Forest,105.5,27,86.7,33,-18.8,9,9,20,49,67,-18,32,65
2024,Everton FC,50.2,12,84.15,12,33.95,13,9,16,40,51,-11,40,48
2024,Arsenal FC,108.9,10,83.79,14,-25.11,28,5,5,91,29,62,89,74
2024,Brentford FC,98.4,16,74.5,18,-23.9,10,9,19,56,65,-9,39,56
2024,Fulham FC,91.55,12,68.8,11,-22.75,13,8,17,55,61,-6,47,54
2024,AFC Bournemouth,126.87,17,66.09,24,-60.79,13,9,16,54,67,-13,48,56
2024,Tottenham Hotspur,175.35,19,55.3,17,-120.05,20,6,12,74,61,13,66,38
2024,Brighton & Hove Albion,279.95,23,49.99,25,-229.96,12,12,14,55,62,-7,48,61
2024,Liverpool FC,42.0,15,47.0,15,5.0,24,10,4,86,41,45,82,84
2024,West Ham United,144.4,18,46.15,15,-98.25,14,10,14,60,74,-14,52,43
2023,Chelsea FC,464.1,31,278.7,32,-185.4,11,11,16,38,47,-9,44,63
2023,Tottenham Hotspur,272.1,28,120.7,22,-151.4,18,6,14,70,63,7,60,66
2023,Manchester City,259.6,20,138.8,21,-120.8,28,5,5,94,33,61,89,91
2023,Arsenal FC,235.1,15,69.2,16,-165.9,26,6,6,88,43,45,84,89
2023,Manchester United,207.2,16,58.34,24,-148.86,23,6,9,58,43,15,75,60
2023,Liverpool FC,172.0,15,60.7,18,-111.3,19,10,9,75,47,28,67,82
2023,Newcastle United,148.1,16,44.6,15,-103.5,19,14,5,68,33,35,71,60
